Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000123124,11059,WWP1
ENSG00000198373,11060,WWP2
ENSG00000175063,11065,UBE2C
ENSG00000091428,11069,RAPGEF4
ENSG00000163781,11073,TOPBP1
ENSG00000111642,1108,CHD4
ENSG00000198610,1109,AKR1C4
ENSG00000196363,11091,WDR5
ENSG00000136243,11097,NUP42
ENSG00000173175,111,ADCY5
ENSG00000105323,11100,HNRNPUL1
ENSG00000126856,11105,PRDM7
ENSG00000110851,11108,PRDM4
ENSG00000088298,111089941,EDEM2
ENSG00000149554,1111,CHEK1
ENSG00000106049,11112,HIBADH
ENSG00000131437,11127,KIF3A
ENSG00000148606,11128,POLR3A
ENSG00000021488,11136,SLC7A9
ENSG00000105401,11140,CDC37
ENSG00000176485,11145,PLAAT3
ENSG00000174842,11146,GLMN
ENSG00000112276,11149,BVES
ENSG00000102879,11151,CORO1A
ENSG00000100478,11154,AP4S1
ENSG00000164167,11157,LSM6
ENSG00000165609,11164,NUDT5
ENSG00000164985,11168,PSIP1
ENSG00000133063,1118,CHIT1
ENSG00000118094,11181,TREH
ENSG00000282928,11184,MAP4K1
ENSG00000104814,11184,MAP4K1
ENSG00000241644,11185,INMT
ENSG00000068028,11186,RASSF1
ENSG00000110721,1119,CHKA
ENSG00000197150,11194,ABCB8
ENSG00000156076,11197,WIF1
ENSG00000174233,112,ADCY6
ENSG00000100288,1120,CHKB
ENSG00000183765,11200,CHEK2
ENSG00000101751,11201,POLI
ENSG00000111432,11211,FZD10
ENSG00000090376,11213,IRAK3
ENSG00000170776,11214,AKAP13
ENSG00000143507,11221,DUSP10
ENSG00000114686,11222,MRPL3
ENSG00000136942,11224,RPL35
ENSG00000139629,11226,GALNT6
ENSG00000136542,11227,GALNT5
ENSG00000025796,11231,SEC63
ENSG00000256525,11232,POLG2
ENSG00000114209,11235,PDCD10
ENSG00000169239,11238,CA5B
ENSG00000269858,112398,EGLN2
ENSG00000129521,112399,EGLN3
ENSG00000141504,112483,SAT2
ENSG00000177239,11253,MAN1B1
ENSG00000101180,11255,HRH3
ENSG00000178996,112574,SNX18
ENSG00000137100,11258,DCTN3
ENSG00000184575,11260,XPOT
